Type	Sodium
Beef	495
Beef	477
Beef	425
Beef	322
Beef	482
Beef	587
Beef	370
Beef	322
Beef	479
Beef	375
Beef	330
Beef	300
Beef	386
Beef	401
Beef	645
Beef	440
Beef	317
Beef	319
Beef	298
Beef	253
Meat	458
Meat	506
Meat	473
Meat	545
Meat	496
Meat	360
Meat	387
Meat	386
Meat	507
Meat	393
Meat	405
Meat	372
Meat	144
Meat	511
Meat	405
Meat	428
Meat	339
Poultry	430
Poultry	375
Poultry	396
Poultry	383
Poultry	387
Poultry	542
Poultry	359
Poultry	357
Poultry	528
Poultry	513
Poultry	426
Poultry	513
Poultry	358
Poultry	581
Poultry	152	588
Poultry	146	522
Poultry	144	545

